date,date_japanese_era,seq,municipality_class,ward_jp,park_class_jp,park_count,park_area_m2,tokyo_ward,municipality_class_en,park_class_en
2017-04-01,H29.4.1,18,市部,東大和市,区市町村,96.0,306945.95,,city ​​area,Ward municipality
2017-04-01,H29.4.1,19,市部,清瀬市,区市町村,4.0,50685.48,,city ​​area,Ward municipality
2017-04-01,H29.4.1,20,市部,東久留米市,区市町村,135.0,192328.3,,city ​​area,Ward municipality
2017-04-01,H29.4.1,21,市部,武蔵村山市,区市町村,18.0,220235.66,,city ​​area,Ward municipality
2017-04-01,H29.4.1,22,市部,多摩市,区市町村,208.0,2010615.52,,city ​​area,Ward municipality
2017-04-01,H29.4.1,23,市部,稲城市,区市町村,121.0,983888.86,,city ​​area,Ward municipality
2017-04-01,H29.4.1,24,市部,羽村市,区市町村,72.0,339193.37,,city ​​area,Ward municipality
2017-04-01,H29.4.1,25,市部,あきる野市,区市町村,32.0,181039.74,,city ​​area,Ward municipality
2017-04-01,H29.4.1,26,市部,西東京市,区市町村,50.0,167054.93,,city ​​area,Ward municipality
2017-04-01,H29.4.1,1,郡部,瑞穂町,区市町村,55.0,171425.35,,county,Ward municipality
2017-04-01,H29.4.1,2,郡部,日の出町,区市町村,23.0,55644.7,,county,Ward municipality
2017-04-01,H29.4.1,1,島部,大島町,区市町村,1.0,1155.0,,island part,Ward municipality
2017-04-01,H29.4.1,2,島部,新島村,区市町村,4.0,12400.0,,island part,Ward municipality
2017-04-01,H29.4.1,4,島部,八丈町,区市町村,4.0,112971.38,,island part,Ward municipality
2017-04-01,H29.4.1,9,島部,小笠原村,区市町村,3.0,9406.68,,island part,Ward municipality
2017-04-01,H29.4.1,8,区部,江東区,国営,1.0,67000.0,Koto,Ward area,National government
2017-04-01,H29.4.1,2,市部,立川市,国営,1.0,1078000.0,,city ​​area,National government
2017-04-01,H29.4.1,7,市部,昭島市,国営,,616000.0,,city ​​area,National government
2017-04-01,H29.4.1,2,区部,中央区,海上,1.0,24513.27,Chuo,Ward area,sea
2017-04-01,H29.4.1,3,区部,港区,海上,3.0,541118.77,Minato,Ward area,sea
2017-04-01,H29.4.1,8,区部,江東区,海上,18.0,1987486.18,Koto,Ward area,sea
2017-04-01,H29.4.1,9,区部,品川区,海上,6.0,508514.53,Shinagawa,Ward area,sea
2017-04-01,H29.4.1,11,区部,大田区,海上,9.0,725155.22,Ota,Ward area,sea
2017-04-01,H29.4.1,23,区部,江戸川区,海上,1.0,4117473.01,Edogawa,Ward area,sea
2018-04-01,H30.4.1,1,区部,千代田区,都立,1.0,161636.66,Chiyoda,Ward area,Metropolitan
2018-04-01,H30.4.1,2,区部,中央区,都立,1.0,250215.72,Chuo,Ward area,Metropolitan
2018-04-01,H30.4.1,3,区部,港区,都立,4.0,235658.05,Minato,Ward area,Metropolitan
2018-04-01,H30.4.1,4,区部,新宿区,都立,1.0,186471.81,Shinjuku,Ward area,Metropolitan
2018-04-01,H30.4.1,5,区部,文京区,都立,2.0,158656.58,Bunkyo,Ward area,Metropolitan
2018-04-01,H30.4.1,6,区部,台東区,都立,2.0,556742.43,Taito,Ward area,Metropolitan
2018-04-01,H30.4.1,7,区部,墨田区,都立,3.0,133593.01,Sumida,Ward area,Metropolitan
2018-04-01,H30.4.1,8,区部,江東区,都立,6.0,1139436.5,Koto,Ward area,Metropolitan
2018-04-01,H30.4.1,9,区部,品川区,都立,2.0,217553.78,Shinagawa,Ward area,Metropolitan
2018-04-01,H30.4.1,10,区部,目黒区,都立,0.0,114276.0,Meguro,Ward area,Metropolitan
2018-04-01,H30.4.1,12,区部,世田谷区,都立,4.0,921707.9,Setagaya,Ward area,Metropolitan
2018-04-01,H30.4.1,13,区部,渋谷区,都立,2.0,568910.03,Shibuya,Ward area,Metropolitan
2018-04-01,H30.4.1,15,区部,杉並区,都立,3.0,526373.26,Suginami,Ward area,Metropolitan
2018-04-01,H30.4.1,17,区部,北区,都立,1.0,71647.37,Kita,Ward area,Metropolitan
2018-04-01,H30.4.1,18,区部,荒川区,都立,2.0,191211.11,Arakawa,Ward area,Metropolitan
2018-04-01,H30.4.1,19,区部,板橋区,都立,2.0,462479.86,Itabashi,Ward area,Metropolitan
2018-04-01,H30.4.1,20,区部,練馬区,都立,4.0,1059015.96,Nerima,Ward area,Metropolitan
2018-04-01,H30.4.1,21,区部,足立区,都立,3.0,911199.18,Adachi,Ward area,Metropolitan
2018-04-01,H30.4.1,22,区部,葛飾区,都立,1.0,928253.05,Katsushika,Ward area,Metropolitan
2018-04-01,H30.4.1,23,区部,江戸川区,都立,4.0,1315106.21,Edogawa,Ward area,Metropolitan
2018-04-01,H30.4.1,24,区部,その他　※1,都立,0.0,34759.95,,Ward area,Metropolitan
2018-04-01,H30.4.1,1,市部,八王子市,都立,5.0,1249233.49,,city ​​area,Metropolitan
2018-04-01,H30.4.1,2,市部,立川市,都立,0.0,32774.81,,city ​​area,Metropolitan
2018-04-01,H30.4.1,3,市部,武蔵野市,都立,1.0,409053.45,,city ​​area,Metropolitan
2018-04-01,H30.4.1,4,市部,三鷹市,都立,1.0,472969.89,,city ​​area,Metropolitan
2018-04-01,H30.4.1,6,市部,府中市,都立,3.0,489027.07,,city ​​area,Metropolitan
2018-04-01,H30.4.1,7,市部,昭島市,都立,0.0,13123.67,,city ​​area,Metropolitan
2018-04-01,H30.4.1,8,市部,調布市,都立,3.0,946863.42,,city ​​area,Metropolitan
2018-04-01,H30.4.1,9,市部,町田市,都立,3.0,1001316.01,,city ​​area,Metropolitan
2018-04-01,H30.4.1,10,市部,小金井市,都立,1.0,727528.78,,city ​​area,Metropolitan
2018-04-01,H30.4.1,11,市部,小平市,都立,2.0,161062.31,,city ​​area,Metropolitan
2018-04-01,H30.4.1,12,市部,日野市,都立,1.0,601372.54,,city ​​area,Metropolitan
2018-04-01,H30.4.1,13,市部,東村山市,都立,3.0,653623.72,,city ​​area,Metropolitan
2018-04-01,H30.4.1,14,市部,国分寺市,都立,2.0,135732.02,,city ​​area,Metropolitan
2018-04-01,H30.4.1,16,市部,福生市,都立,0.0,498.14,,city ​​area,Metropolitan
2018-04-01,H30.4.1,18,市部,東大和市,都立,2.0,384978.34,,city ​​area,Metropolitan
2018-04-01,H30.4.1,20,市部,東久留米市,都立,1.0,50112.04,,city ​​area,Metropolitan
2018-04-01,H30.4.1,21,市部,武蔵村山市,都立,1.0,1018828.32,,city ​​area,Metropolitan
2018-04-01,H30.4.1,22,市部,多摩市,都立,1.0,339322.38,,city ​​area,Metropolitan
2018-04-01,H30.4.1,25,市部,あきる野市,都立,1.0,118447.07,,city ​​area,Metropolitan
2018-04-01,H30.4.1,26,市部,西東京市,都立,1.0,91174.63,,city ​​area,Metropolitan
2018-04-01,H30.4.1,1,郡部,瑞穂町,都立,1.0,1047011.99,,county,Metropolitan
2018-04-01,H30.4.1,9,島部,小笠原村,都立,1.0,153125.94,,island part,Metropolitan
2018-04-01,H30.4.1,1,区部,千代田区,区市町村,22.0,104568.56,Chiyoda,Ward area,Ward municipality
2018-04-01,H30.4.1,2,区部,中央区,区市町村,57.0,321041.41,Chuo,Ward area,Ward municipality
2018-04-01,H30.4.1,3,区部,港区,区市町村,47.0,266338.55,Minato,Ward area,Ward municipality
2018-04-01,H30.4.1,4,区部,新宿区,区市町村,176.0,359300.83,Shinjuku,Ward area,Ward municipality
2018-04-01,H30.4.1,5,区部,文京区,区市町村,45.0,203217.33,Bunkyo,Ward area,Ward municipality
